Species_name	References
"""Asplenium obovatum subsp. billotii (F. W. Schultz) Kerguélen"""	"""Schubert et al. (1987)"""
"""Asplenium ruta-muraria L."""	"""Schubert et al. (1987)"""
"""Asplenium scolopendrium (L.) Newman"""	"""Schubert et al. (1987)"""
"""Asplenium seelosii Leyb."""	"""Schubert et al. (1987)"""
"""Asplenium septentrionale (L.) Hoffm."""	"""Schubert et al. (1987)"""
"""Asplenium trichomanes L."""	"""Schubert et al. (1987)"""
"""Asplenium viride Huds."""	"""Schubert et al. (1987)"""
"""Asplenium x alternifolium Wulfen"""	"""Schubert et al. (1987)"""
"""Aster alpinus L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Aster amellus L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Astragalus alpinus L."""	"""Christiansen (1938-1942); Schubert et al. (1987); Klimešová, pers. obs."""
"""Astragalus arenarius L."""	"""Christiansen (1938-1942); Schubert et al. (1987)"""
"""Astragalus asper Jacq."""	"""Christiansen (1938-1942)"""
"""Astragalus australis (L.) Lam."""	"""Christiansen (1938-1942); Schubert et al. (1987)"""
"""Astragalus austriacus Jacq."""	"""Christiansen (1938-1942); Kutschera and Lichtenegger (1992)"""
"""Astragalus cicer L."""	"""Christiansen (1938-1942); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
