Species_name	References
"""Astragalus danicus Retz."""	"""Christiansen (1938-1942); Schubert et al. (1987)"""
"""Astragalus depressus L."""	"""Christiansen (1938-1942)"""
"""Astragalus exscapus L."""	"""Christiansen (1938-1942); Schubert et al. (1987)"""
"""Astragalus frigidus (L.) A. Gray"""	"""Christiansen (1938-1942); Schubert et al. (1987); Klimešová, pers. obs."""
"""Astragalus glycyphyllos L."""	"""Christiansen (1938-1942); Schubert et al. (1987); Klimešová, pers. obs."""
"""Astragalus hypoglottis L."""	"""Christiansen (1938-1942)"""
"""Astragalus leontinus Wulfen"""	"""Christiansen (1938-1942)"""
"""Astragalus monspessulanus L."""	"""Christiansen (1938-1942)"""
"""Astragalus norvegicus Grauer"""	"""Christiansen (1938-1942)"""
"""Astragalus onobrychis L."""	"""Christiansen (1938-1942); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Astragalus penduliflorus Lam."""	"""Christiansen (1938-1942)"""
"""Astragalus sempervirens Lam."""	"""Christiansen (1938-1942)"""
"""Astragalus sulcatus L."""	"""Christiansen (1938-1942)"""
"""Astragalus vesicarius L."""	"""Christiansen (1938-1942)"""
"""Astrantia bavarica F. W. Schultz"""	"""Schubert et al. (1987)"""
"""Astrantia major L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Athamanta cretensis L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Athyrium distentifolium Tausch ex Opiz"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Athyrium filix-femina (L.) Roth"""	"""Schubert et al. (1987)"""
"""Atocion armeria (L.) Raf."""	"""Schubert et al. (1987)"""
"""Atocion rupestre (L.) Oxelman"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Atriplex calotheca (Rafn) Fr."""	"""Schubert et al. (1987)"""
"""Atriplex glabriuscula Edmondston"""	"""Schubert et al. (1987)"""
"""Atriplex hortensis L."""	"""Schubert et al. (1987)"""
"""Atriplex laciniata L."""	"""Schubert et al. (1987)"""
"""Atriplex littoralis L."""	"""Schubert et al. (1987)"""
"""Atriplex micrantha Ledeb."""	"""Schubert et al. (1987)"""
"""Atriplex oblongifolia Waldst. et Kit."""	"""Schubert et al. (1987)"""
"""Atriplex patula L."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Atriplex prostrata DC."""	"""Schubert et al. (1987)"""
"""Atriplex rosea L."""	"""Schubert et al. (1987)"""
"""Atriplex sagittata Borkh."""	"""Schubert et al. (1987)"""
"""Atriplex tatarica L."""	"""Schubert et al. (1987)"""
"""Atropa bella-donna L."""	"""Butcher (1947); Schubert et al. (1987); Klimešová, pers. obs."""
"""Aubrieta deltoidea (L.) DC."""	"""Schubert et al. (1987)"""
"""Aurinia saxatilis (L.) Desv."""	"""Jäger and Werner (2002); Rauh (1937)"""
"""Avena fatua L."""	"""Schubert et al. (1987); Sharma and Vanden Born (1978)"""
"""Avena sativa L."""	"""Schubert et al. (1987)"""
"""Avena strigosa Schreb."""	"""Schubert et al. (1987)"""
"""Avenella flexuosa (L.) Drejer"""	"""Grime et al. (1988); Kutschera and Lichtenegger (1982); Mühlberg (1967); Scurfield (1954); Schubert et al. (1987); Zhukova (1979); Klimešová, pers. obs."""
"""Avenula pubescens (Huds.) Dumort."""	"""Dixon (1991); Grime et al. (1988); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Azolla filiculoides Lam."""	"""Schubert et al. (1987)"""
"""Baldellia ranunculoides (L.) Parl."""	""" Glück (1905); Glück and Kirchner (1908); Jäger and Werner (2002)"""
"""Ballota nigra L."""	"""Schubert et al. (1987)"""
"""Barbarea intermedia Boreau"""	"""Schubert et al. (1987)"""
"""Barbarea stricta Andrz."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Barbarea verna (Mill.) Asch."""	"""Schubert et al. (1987)"""
"""Barbarea vulgaris W. T. Aiton"""	"""Jäger and Werner (2002); Korsmo (1930); Kott (1963); MacDonald and Cavers (1991); Rauh (1937); Klimešová, pers. obs."""
"""Bartsia alpina L."""	"""Taylor and Rumsey(2003); Klimešová, pers. obs."""
"""Bassia hirsuta (L.) Asch."""	"""Schubert et al. (1987)"""
"""Bassia laniflora (S. G. Gmel.) A. J. Scott"""	"""Schubert et al. (1987)"""
"""Bassia prostrata (L.) Beck"""	"""Kutschera and Lichtenegger (1992)"""
"""Bassia scoparia (L.) Voss"""	"""Schubert et al. (1987)"""
"""Batrachium aquatile (L.) Dumort."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Batrachium baudotii (Godr.) F. W. Schultz"""	"""Schubert et al. (1987)"""
"""Batrachium circinatum (Sibth.) Spach"""	"""Schubert et al. (1987)"""
"""Batrachium fluitans (Lam.) Wimm."""	"""Schubert et al. (1987)"""
"""Batrachium penicillatum Dumort."""	"""Grime et al. (1988)"""
"""Batrachium trichophyllum (Chaix) F. W. Schultz"""	"""Barrat-Segretain et al. (1998); Schubert et al. (1987); Klimešová, pers. obs."""
"""Beckmannia eruciformis (L.) Host"""	"""Lukasiewicz (1962)"""
"""Bellidiastrum michelii Cass."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Bellis perennis L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Berberis vulgaris L."""	"""Klimešová, pers. obs."""
"""Berteroa incana (L.) DC."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Berula erecta (Huds.) Coville"""	"""Glück (1911); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Beta vulgaris L."""	"""Schubert et al. (1987)"""
"""Betonica alopecuros L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Betonica officinalis L."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Betula nana L."""	"""Bret-Harte et al. (2002); De Grott et al. (1997)"""
"""Betula pendula Roth"""	"""Atkinson (1992); Büsgen (1921)"""
"""Betula pubescens Ehrh."""	"""Atkinson (1992); Büsgen (1921); Fritsch (1927)"""
"""Bidens cernuus L."""	"""Schubert et al. (1987)"""
"""Bidens connatus Willd."""	"""Schubert et al. (1987)"""
"""Bidens frondosus L."""	"""Schubert et al. (1987)"""
"""Bidens radiatus Thuill."""	"""Schubert et al. (1987)"""
"""Bidens tripartitus L."""	"""Schubert et al. (1987)"""
"""Bifora radians M. Bieb."""	"""Schubert et al. (1987)"""
"""Biscutella laevigata L."""	"""Hess (1909); Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Bistorta officinalis Delarbre"""	"""Kutschera and Lichtenegger (1992); Pecháèková and Krahulec (1995); Schubert et al. (1987); Klimešová, pers. obs."""
"""Bistorta vivipara (L.) Delarbre"""	"""Hartmann (1957); Kutschera and Lichtenegger (1992); Möbius (1940); Pascher (1939); Serebrjakov (1952); Schubert et al. (1987); Totland and Nyléhn (1998); Klimešová, pers. obs."""
"""Blackstonia acuminata (W. D. J. Koch & Ziz) Domin"""	"""Schubert et al. (1987)"""
"""Blechnum spicant (L.) Roth"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Blysmus compressus (L.) Link"""	"""Schubert et al. (1987)"""
"""Blysmus rufus (Huds.) Link"""	"""Schubert et al. (1987)"""
"""Bolboschoenus maritimus (L.) Palla"""	"""Alekseyev (1995); Charpentier and Stuefe (1999); Charpentier et al. (1998); Schubert et al. (1987); Klimešová, pers. obs."""
"""Borago officinalis L."""	"""Schubert et al. (1987)"""
"""Bothriochloa ischaemum (L.) Keng"""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Botrychium lunaria (L.) Sw."""	"""Hess (1909); Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Botrychium matricariifolium (Retz.) W. D. J. Koch"""	"""Jäger and Werner (2002); Velenovský (1904)"""
"""Botrychium multifidum (S. G. Gmel.) Rupr."""	"""Jäger and Werner (2002)"""
"""Botrychium simplex E. Hitchc."""	"""Jäger and Werner (2002)"""
"""Botrychium virginianum (L.) Sw."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Brachypodium pinnatum (L.) P. Beauv."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1982); Mühlberg (1967); Schläpfer and Fischer (1998); Schubert et al. (1987); Klimešová, pers. obs."""
"""Brachypodium rupestre (Host) Roem. et Schult."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1982)"""
"""Brachypodium sylvaticum (Huds.) P. Beauv."""	"""Grime et al. (1988); Serebriakova (1972); Schubert et al. (1987); Klimešová, pers. obs."""
"""Brassica elongata Ehrh."""	"""Schubert et al. (1987)"""
"""Brassica juncea (L.) Czern."""	"""Schubert et al. (1987)"""
"""Brassica napus L."""	"""Schubert et al. (1987)"""
"""Brassica nigra (L.) W. D. J. Koch"""	"""Schubert et al. (1987)"""
"""Brassica oleracea L."""	"""Beijerinck (1887); Dubard (1903); Schubert et al. (1987)"""
"""Brassica rapa L."""	"""Schubert et al. (1987)"""
"""Briza media L."""	"""Dixon (2002); Grime et al. (1988); Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987); Klimešová, pers. obs."""
"""Bromus arvensis L."""	"""Schubert et al. (1987)"""
"""Bromus benekenii (Lange) Trimen"""	"""Schubert et al. (1987)"""
"""Bromus brachystachys Hornung"""	"""Schubert et al. (1987)"""
"""Bromus commutatus Schrad."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Bromus erectus Huds."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Bromus hordeaceus L."""	"""Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987)"""
"""Bromus inermis Leyss."""	"""Kutschera and Lichtenegger (1982); Mühlberg (1967); Serebriakova (1972); Schubert et al. (1987)"""
"""Bromus japonicus Thunb."""	"""Schubert et al. (1987)"""
"""Bromus racemosus L."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987); """
"""Bromus ramosus Huds."""	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Bromus secalinus L."""	"""Schubert et al. (1987)"""
"""Bromus squarrosus L."""	"""Schubert et al. (1987)"""
"""Bromus sterilis L."""	"""Jäger and Werner (2002)"""
"""Bromus tectorum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Bryonia alba L."""	"""Schubert et al. (1987); Troll (1941-1942)"""
"""Bryonia dioica Jacq."""	"""Dubard (1903); Schubert et al. (1987)"""
"""Buglossoides arvensis agg. """	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Buglossoides purpurocaerulea (L.) I. M. Johnst."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Bunias erucago L."""	"""Schubert et al. (1987)"""
"""Bunias orientalis L."""	"""Beijerinck (1887); Bylova (1974); Dietz et al. (1999); Jäger and Werner (2002); Korsmo (1930); Lukasiewicz (1962); Wehsarg (1954); Klimešová, pers. obs."""
"""Bunium bulbocastanum L."""	"""Schubert et al. (1987)"""
"""Buphthalmum salicifolium L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Bupleurum falcatum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Bupleurum gerardii All."""	"""Schubert et al. (1987)"""
"""Bupleurum longifolium L."""	"""Schubert et al. (1987)"""
"""Bupleurum multinerve DC."""	"""Mikhailova (1989)"""
"""Bupleurum ranunculoides L."""	"""Schubert et al. (1987)"""
"""Bupleurum rotundifolium L."""	"""Schubert et al. (1987)"""
"""Bupleurum tenuissimum L."""	"""Schubert et al. (1987)"""
"""Butomus umbellatus L."""	"""Eckert et al. (2000); Glück (1911); Hroudová (1989); Hroudová and Zákravský (1993); Irmisch (1850); Jäger and Werner (2002); Lieu (1978); Woodhead and Kirchner (1908); Klimešová, pers. obs."""
"""Cakile maritima Scop."""	"""Schubert et al. (1987)"""
"""Calamagrostis arundinacea (L.) Roth"""	"""Mühlberg (1967); Schubert et al. (1987); Ulanova (1995a)"""
"""Calamagrostis canescens (F. H. Wigg.) Roth"""	"""Schubert et al. (1987)"""
"""Calamagrostis epigejos (L.) Roth"""	"""Mühlberg (1967); Schubert et al. (1987); Ulanova (1995b); Klimešová, pers. obs."""
"""Calamagrostis phragmitoides Hartm."""	"""Schubert et al. (1987)"""
"""Calamagrostis pseudophragmites (Haller f.) Koeler"""	"""Schubert et al. (1987)"""
"""Calamagrostis rivalis H. Scholz"""	"""Schubert et al. (1987)"""
"""Calamagrostis stricta (Timm) Koeler"""	"""Schubert et al. (1987)"""
"""Calamagrostis varia (Schrad.) Host"""	"""Schubert et al. (1987)"""
"""Calamagrostis villosa (Chaix) J. F. Gmel."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Caldesia parnassiifolia (L.) Parl."""	""" Glück (1905); Glück (1906); Glück and Kirchner (1908)"""
"""Calendula arvensis L."""	"""Schubert et al. (1987)"""
"""Calendula officinalis L."""	"""Schubert et al. (1987)"""
"""Calla palustris L."""	"""Höck et al. (1934); Schubert et al. (1987); Wydler (1856); Klimešová, pers. obs."""
"""Callitriche cophocarpa Sendtn."""	"""Klimešová, pers. obs."""
"""Callitriche hamulata Kütz. ex W. D. J. Koch"""	"""Jäger and Werner (2002)"""
"""Callitriche hermaphroditica L."""	"""Schubert et al. (1987)"""
"""Callitriche obtusangula Le Gall ex Hegelm."""	"""Jäger and Werner (2002)"""
"""Callitriche palustris L."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Callitriche platycarpa Kütz."""	"""Jäger and Werner (2002)"""
"""Callitriche stagnalis Scop."""	"""Grime et al. (1988); Jäger and Werner (2002)"""
"""Callitriche truncata Guss."""	"""Barry and Wade (1986)"""
"""Calluna vulgaris (L.) Hull"""	"""Fritsch (1927); Gimingham (1960); Grevillius and Kirchner (1923); Grime et al. (1988); Kutschera and Lichtenegger (1992); MacDonald et al. (1995); Miller and Miles (1970); Klimešová, pers. obs."""
"""Caltha palustris L."""	"""Faliñska (1998); Grime et al. (1988); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Caltha palustris subsp. araneosa (Steenis) Meijden"""	"""Faliñska (1998); Grime et al. (1988); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Calypso bulbosa (L.) Oakes"""	"""Kozhevnikova and Vinogradova (1999)"""
"""Calystegia pulchra Brummit et Heywood"""	"""Jäger and Werner (2002)"""
"""Calystegia sepium (L.) R. Br."""	"""Grime et al. (1988)"""
"""Calystegia silvatica (Kit.) Griseb."""	"""Jäger and Werner (2002)"""
"""Calystegia soldanella (L.) R. Br."""	"""Schubert et al. (1987)"""
"""Camelina alyssum (Mill.) Thell."""	"""Schubert et al. (1987)"""
"""Camelina microcarpa DC."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Camelina sativa (L.) Crantz"""	"""Schubert et al. (1987)"""
"""Campanula alpina Jacq."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Campanula barbata L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Campanula baumgartenii Becker"""	"""Schubert et al. (1987)"""
"""Campanula bononiensis L."""	"""Schubert et al. (1987)"""
"""Campanula carnica Mert. & W. D. J. Koch subsp. carnica"""	"""Klimešová, pers. obs."""
"""Campanula carnica subsp. puberula Podlech"""	"""Klimešová, pers. obs."""
"""Campanula cenisia L."""	"""Hartmann (1957); Hess (1909)"""
"""Campanula cervicaria L."""	"""Schubert et al. (1987)"""
"""Campanula cespitosa Scop."""	"""Reichardt (1857)"""
"""Campanula cochleariifolia Lam."""	"""Hess (1909); Jäger and Werner (2002); Klimešová, pers. obs."""
"""Campanula glomerata L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Rysin and Rysina (1987); Klimešová, pers. obs."""
"""Campanula latifolia L."""	"""Schubert et al. (1987)"""
"""Campanula medium L."""	"""Schubert et al. (1987)"""
"""Campanula morettiana Rchb."""	"""Klimešová, pers. obs."""
"""Campanula patula L."""	"""Kutschera and Lichtenegger (1992); Shulkina and Zemskova (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Campanula persicifolia L."""	"""Rysin and Rysina (1987); Shulkina and Zemskova (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Campanula rapunculoides L."""	"""Korsmo (1930); Lukasiewicz (1962); Rysin and Rysina (1987); Schubert et al. (1987); Klimešová, pers. obs."""
"""Campanula rapunculus L."""	"""Kutschera and Lichtenegger (1992); Shulkina and Zemskova (1983)"""
"""Campanula rhomboidalis L."""	"""Jäger and Werner (2002)"""
"""Campanula rotundifolia L."""	"""Beijerinck (1887); Dubard (1903); Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Rysin and Rysina (1987); Serebrjakov (1952); Klimešová, pers. obs."""
"""Campanula scheuchzeri Vill."""	"""Hess (1909); Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Campanula sibirica L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Campanula spicata L."""	"""Kutschera and Lichtenegger (1992)"""
"""Campanula thyrsoides L."""	"""Schubert et al. (1987)"""
"""Campanula trachelium L."""	"""Lukasiewicz (1962); Rysin and Rysina (1987); Schubert et al. (1987); Klimešová, pers. obs."""
"""Campanula uniflora L."""	"""Klimešová, pers. obs."""
"""Cannabis sativa L."""	"""Schubert et al. (1987); Walter (1938)"""
"""Capsella bursa-pastoris (L.) Medik."""	"""Aksoy et al. (1998); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cardamine alpina Willd."""	"""Troll (1941-1942)"""
"""Cardamine amara L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Cardamine bellidifolia L."""	"""Klimešová, pers. obs."""
"""Cardamine flexuosa With."""	"""Schubert et al. (1987)"""
"""Cardamine hirsuta L."""	"""Bockemühl (1983); Schubert et al. (1987)"""
"""Cardamine impatiens L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Cardamine parviflora L."""	"""Schubert et al. (1987)"""
"""Cardamine pratensis L."""	"""Glück (1911); Grime et al. (1988); Hansen (1881); Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Cardamine resedifolia L."""	"""Hartmann (1957); Jäger and Werner (2002); Wydler (1859); Klimešová, pers. obs."""
"""Cardamine trifida (Lam. ex Poir.) B.M.G.Jones"""	"""Berkutenko (1999)"""
"""Cardamine trifolia L."""	"""Schubert et al. (1987)"""
"""Carduus acanthoides L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Carduus crispus L."""	"""Schubert et al. (1987)"""
"""Carduus defloratus L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Carduus nutans L."""	"""Schubert et al. (1987)"""
"""Carduus personata (L.) Jacq."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Carex acuta L."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987); Soukupová (1988); Klimešová, pers. obs."""
"""Carex acutiformis Ehrh."""	"""Grime et al. (1988); Jäger and Werner (2002); Kutschera and Lichtenegger (1982)"""
"""Carex alba Scop."""	"""Schubert et al. (1987)"""
"""Carex appropinquata Schumach."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Carex aquatilis Wahlenb."""	"""Schubert et al. (1987)"""
