"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Scabiosa maritima","Scabiosa atropurpurea","wfo-0000500186","species","L.","Caprifoliaceae","Scabiosa","Accepted","MATCH"
"Scandix australis","Scandix australis","wfo-0000435240","species","L.","Apiaceae","Scandix","Accepted","MATCH"
"Scandix pecten veneris","Scandix pecten-veneris","wfo-0000434334","species","L.","Apiaceae","Scandix","Accepted","FUZZY"
"Scandix pecten-veneris","Scandix pecten-veneris","wfo-0000434334","species","L.","Apiaceae","Scandix","Accepted","MATCH"
"Schedonnardus","Muhlenbergia","wfo-4000024954","genus","Schreb.","Poaceae","Muhlenbergia","Accepted","MATCH"
"Schedonorus arundinaceus","Lolium arundinaceum","wfo-0000878351","species","(Schreb.) Darbysh.","Poaceae","Lolium","Accepted","MATCH"
"Schedonorus arundinaceus arundinaceus","Lolium arundinaceum","wfo-0000878351","species","(Schreb.) Darbysh.","Poaceae","Lolium","Accepted","FUZZY"
"Schedonorus giganteus","Lolium giganteum","wfo-0000878391","species","(L.) Darbysh.","Poaceae","Lolium","Accepted","MATCH"
"Schedonorus pratensis","Lolium pratense","wfo-0000878460","species","(Huds.) Darbysh.","Poaceae","Lolium","Accepted","MATCH"
"Schedonorus pratensis pratensis","Lolium pratense","wfo-0000878460","species","(Huds.) Darbysh.","Poaceae","Lolium","Accepted","FUZZY"
"Schoedonorus arundinaceus","Lolium arundinaceum","wfo-0000878351","species","(Schreb.) Darbysh.","Poaceae","Lolium","Accepted","FUZZY"
"Schoedonorus pratensis","Lolium pratense","wfo-0000878460","species","(Huds.) Darbysh.","Poaceae","Lolium","Accepted","FUZZY"
"Scirpoides holoschoenus","Scirpoides holoschoenus","wfo-0000533499","species","(L.) Soják","Cyperaceae","Scirpoides","Accepted","MATCH"
"Scirpus silvaticus","Scirpus sylvaticus","wfo-0000546234","species","L.","Cyperaceae","Scirpus","Accepted","FUZZY"
"Scirpus sylvaticus","Scirpus sylvaticus","wfo-0000546234","species","L.","Cyperaceae","Scirpus","Accepted","MATCH"
"Scleranthus annuus","Scleranthus annuus","wfo-0000441933","species","L.","Caryophyllaceae","Scleranthus","Accepted","MATCH"
"Scleranthus annuus annuus","Scleranthus annuus","wfo-0000441933","species","L.","Caryophyllaceae","Scleranthus","Accepted","FUZZY"
"Scleranthus perennis","Scleranthus perennis","wfo-0000441934","species","L.","Caryophyllaceae","Scleranthus","Accepted","MATCH"
"Sclerochloa dura","Sclerochloa dura","wfo-0000898415","species","(L.) P.Beauv.","Poaceae","Sclerochloa","Accepted","MATCH"
"Scolymus","Scolymus","wfo-4000034797","genus","L.","Asteraceae","Scolymus","Accepted","MATCH"
"Scolymus hispanicus","Scolymus hispanicus","wfo-0000022425","species","L.","Asteraceae","Scolymus","Accepted","MATCH"
"Scolymus maculatus","Scolymus maculatus","wfo-0000091946","species","L.","Asteraceae","Scolymus","Accepted","MATCH"
"Scorpiurus muricatus","Scorpiurus muricatus","wfo-0000205858","species","L.","Fabaceae","Scorpiurus","Accepted","MATCH"
"Scorpiurus muricatus subvillosus","Scorpiurus muricatus","wfo-0000205858","species","L.","Fabaceae","Scorpiurus","Accepted","FUZZY"
"Scorpiurus subvillosus","Scorpiurus muricatus","wfo-0000205858","species","L.","Fabaceae","Scorpiurus","Accepted","MATCH"
"Scorpiurus vermiculatus","Scorpiurus vermiculatus","wfo-0000205896","species","L.","Fabaceae","Scorpiurus","Accepted","MATCH"
"Scorzonera","Scorzonera","wfo-4000034832","genus","L.","Asteraceae","Scorzonera","Accepted","MATCH"
"Scorzonera hirsuta","Gelasia villosa","wfo-0000088237","species","(Scop.) Cass.","Asteraceae","Gelasia","Accepted","MATCH"
"Scorzonera laciniata","Scorzonera laciniata","wfo-0000089937","species","Jacq.","Asteraceae","Scorzonera","Accepted","MATCH"
"Scorzoneroides","Scorzoneroides","wfo-4000034833","genus","Moench","Asteraceae","Scorzoneroides","Accepted","MATCH"
"Scorzoneroides autumnalis","Scorzoneroides autumnalis","wfo-0000022256","species","(L.) Moench","Asteraceae","Scorzoneroides","Accepted","MATCH"
"Scrophularia auriculata","Scrophularia auriculata","wfo-0000495559","species","L.","Scrophulariaceae","Scrophularia","Accepted","MATCH"
"Scrophularia nodosa","Scrophularia nodosa","wfo-0000496317","species","L.","Scrophulariaceae","Scrophularia","Accepted","MATCH"
"Scutellaria galericulata","Scutellaria galericulata","wfo-0000307828","species","L.","Lamiaceae","Scutellaria","Accepted","MATCH"
"Secale","Secale","wfo-4000034915","genus","L.","Poaceae","Secale","Accepted","MATCH"
"Secale cereale","Secale cereale","wfo-0000898524","species","L.","Poaceae","Secale","Accepted","MATCH"
"Securigera varia","Coronilla varia","wfo-0000213691","species","L.","Fabaceae","Coronilla","Accepted","MATCH"
"Sedum","Sedum","wfo-4000034941","genus","L.","Crassulaceae","Sedum","Accepted","MATCH"
"Sedum acre","Sedum acre","wfo-0000437124","species","L.","Crassulaceae","Sedum","Accepted","MATCH"
"Sedum album","Sedum album","wfo-0000438148","species","L.","Crassulaceae","Sedum","Accepted","MATCH"
"Sedum anglicum","Sedum anglicum","wfo-0000438101","species","Huds.","Crassulaceae","Sedum","Accepted","MATCH"
"Sedum maximum","Hylotelephium maximum","wfo-0000726956","species","(L.) Holub","Crassulaceae","Hylotelephium","Accepted","MATCH"
"Sedum rubens","Sedum rubens","wfo-0000436969","species","L.","Crassulaceae","Sedum","Accepted","MATCH"
"Sedum sediforme","Petrosedum sediforme","wfo-0000396518","species","(Jacq.) Grulich","Crassulaceae","Petrosedum","Accepted","MATCH"
"Sedum telephium","Hylotelephium telephium","wfo-0000726974","species","(L.) H.Ohba","Crassulaceae","Hylotelephium","Accepted","MATCH"
"Selinum carvifolia","Selinum carvifolium","wfo-0000434414","species","(L.) L.","Apiaceae","Selinum","Accepted","FUZZY"
"Senecio","Senecio","wfo-4000035060","genus","L.","Asteraceae","Senecio","Accepted","MATCH"
"Senecio erucifolius","Jacobaea erucifolia","wfo-0000119080","species","(L.) P.Gaertn., B.Mey. & Schreb.","Asteraceae","Jacobaea","Accepted","MATCH"
"Senecio gallicus","Senecio gallicus","wfo-0000061294","species","Vill.","Asteraceae","Senecio","Accepted","MATCH"
"Senecio inaequidens","Senecio inaequidens","wfo-0000064202","species","DC.","Asteraceae","Senecio","Accepted","MATCH"
"Senecio jacobaea","Jacobaea vulgaris","wfo-0000031875","species","Gaertn.","Asteraceae","Jacobaea","Accepted","MATCH"
"Senecio jacobea","Jacobaea vulgaris","wfo-0000031875","species","Gaertn.","Asteraceae","Jacobaea","Accepted","FUZZY"
"Senecio leucanthemifolius","Senecio leucanthemifolius","wfo-0000082704","species","Poir.","Asteraceae","Senecio","Accepted","MATCH"
"Senecio leucanthemifolius vernalis","Senecio leucanthemifolius","wfo-0000082704","species","Poir.","Asteraceae","Senecio","Accepted","FUZZY"
"Senecio lividus","Senecio lividus","wfo-0000122180","species","L.","Asteraceae","Senecio","Accepted","MATCH"
"Senecio sylvaticus","Senecio sylvaticus","wfo-0000041240","species","L.","Asteraceae","Senecio","Accepted","MATCH"
"Senecio vernalis","Senecio leucanthemifolius subsp. vernalis","wfo-0000100018","subspecies","(Waldst. & Kit.) Greuter","Asteraceae","Senecio","Accepted","MATCH"
"Senecio viscosus","Senecio viscosus","wfo-0000095374","species","L.","Asteraceae","Senecio","Accepted","MATCH"
