"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Stellaria alsine","Stellaria uliginosa","wfo-0000436845","species","Murray","Caryophyllaceae","Stellaria","Accepted","MATCH"
"Stellaria aquatica","Stellaria aquatica","wfo-0000436514","species","Scop.","Caryophyllaceae","Stellaria","Accepted","MATCH"
"Stellaria graminea","Stellaria graminea","wfo-0000436380","species","L.","Caryophyllaceae","Stellaria","Accepted","MATCH"
"Stellaria holostea","Rabelera holostea","wfo-1000079164","species","(L.) M.T.Sharples & E.A.Tripp","Caryophyllaceae","Rabelera","Accepted","MATCH"
"Stellaria media","Stellaria media","wfo-0000436325","species","(L.) Vill.","Caryophyllaceae","Stellaria","Accepted","MATCH"
"Stellaria neglecta","Stellaria neglecta","wfo-0000436807","species","(Lej.) Weihe","Caryophyllaceae","Stellaria","Accepted","MATCH"
"Stellaria pallida","Stellaria pallida","wfo-0000436821","species","(Dumort.) Crép.","Caryophyllaceae","Stellaria","Accepted","MATCH"
"Stellaria palustris","Stellaria palustris","wfo-0000436796","species","Retz.","Caryophyllaceae","Stellaria","Accepted","MATCH"
"Stipa capensis","Stipa dregeana","wfo-0000902014","species","Steud.","Poaceae","Stipa","Accepted","MATCH"
"Stipa capillata","Stipa capillata","wfo-0000901857","species","L.","Poaceae","Stipa","Accepted","MATCH"
"Strigosella africana","Strigosella africana","wfo-0000432092","species","(L.) Botsch.","Brassicaceae","Strigosella","Accepted","MATCH"
"Succisa pratensis","Succisa pratensis","wfo-0000500443","species","Moench","Caprifoliaceae","Succisa","Accepted","MATCH"
"Succowia balearica","Succowia balearica","wfo-0000432090","species","(L.) Medik.","Brassicaceae","Succowia","Accepted","MATCH"
"Sylibum marianum","Silybum marianum","wfo-0000014591","species","(L.) Gaertn.","Asteraceae","Silybum","Accepted","FUZZY"
"Symphoricarpos albus","Symphoricarpos albus","wfo-0000439047","species","(L.) S.F.Blake","Caprifoliaceae","Symphoricarpos","Accepted","MATCH"
"Symphyotrichum","Symphyotrichum","wfo-4000037221","genus","Nees","Asteraceae","Symphyotrichum","Accepted","MATCH"
"Symphyotrichum lanceolatum","Symphyotrichum lanceolatum","wfo-0000012570","species","(Willd.) G.L.Nesom","Asteraceae","Symphyotrichum","Accepted","MATCH"
"Symphyotrichum squamatum","Aster squamatus","wfo-0000050191","species","(Spreng.) Hieron.","Asteraceae","Aster","Accepted","MATCH"
"Symphyotrichum subulatum","Aster subulatus","wfo-0000116793","species","Michx.","Asteraceae","Aster","Accepted","MATCH"
"Symphytum","Symphytum","wfo-4000037231","genus","L.","Boraginaceae","Symphytum","Accepted","MATCH"
"Symphytum officinale","Symphytum officinale","wfo-0000432219","species","L.","Boraginaceae","Symphytum","Accepted","MATCH"
"Symphytum officinale officinale","Symphytum officinale","wfo-0000432219","species","L.","Boraginaceae","Symphytum","Accepted","FUZZY"
"Symphytum orientale","Symphytum orientale","wfo-0000432228","species","L.","Boraginaceae","Symphytum","Accepted","MATCH"
"Symphytum tuberosum","Symphytum tuberosum","wfo-0000432225","species","L.","Boraginaceae","Symphytum","Accepted","MATCH"
"Syringa vulgaris","Syringa vulgaris","wfo-0000818704","species","L.","Oleaceae","Syringa","Accepted","MATCH"
"Sysimbrium irio","Sisymbrium irio","wfo-0000431928","species","L.","Brassicaceae","Sisymbrium","Accepted","FUZZY"
"Taeniatherum caput-medusae","Taeniatherum caput-medusae","wfo-0000903362","species","(L.) Nevski","Poaceae","Taeniatherum","Accepted","MATCH"
"Tagetes","Tagetes","wfo-4000037446","genus","L.","Asteraceae","Tagetes","Accepted","MATCH"
"Tagetes minuta","Tagetes minuta","wfo-0000017317","species","L.","Asteraceae","Tagetes","Accepted","MATCH"
"Tamus communis","Dioscorea communis","wfo-0000389997","species","(L.) Caddick & Wilkin","Dioscoreaceae","Dioscorea","Accepted","MATCH"
"Tanacetum","Tanacetum","wfo-4000037526","genus","L.","Asteraceae","Tanacetum","Accepted","MATCH"
"Tanacetum corymbosum","Tanacetum corymbosum","wfo-0000003113","species","(L.) Sch.Bip.","Asteraceae","Tanacetum","Accepted","MATCH"
"Tanacetum vulgare","Tanacetum vulgare","wfo-0000114512","species","L.","Asteraceae","Tanacetum","Accepted","MATCH"
"Taraxacum","Taraxacum","wfo-4000037583","genus","F.H.Wigg.","Asteraceae","Taraxacum","Accepted","MATCH"
"Taraxacum campylodes","Taraxacum campylodes","wfo-0000093449","species","G.E.Haglund","Asteraceae","Taraxacum","Accepted","MATCH"
"Taraxacum erythrospermum","Taraxacum erythrospermum","wfo-0000020721","species","Andrz. ex Besser","Asteraceae","Taraxacum","Accepted","MATCH"
"Taraxacum fhwigg","Taraxacum","wfo-4000037583","genus","F.H.Wigg.","Asteraceae","Taraxacum","Accepted","FUZZY"
"Taraxacum officinale","Taraxacum officinale","wfo-0000062154","species","F.H.Wigg.","Asteraceae","Taraxacum","Unchecked","MATCH"
"Taraxacum tiroliense","Taraxacum tiroliense","wfo-0000127099","species","Dahlst.","Asteraceae","Taraxacum","Accepted","MATCH"
