"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Vicia segetalis",NA,"FR_VIN_HERAULT","Vicia segetalis","Vicia sativa nigra","Accepted","Synonym","Vicia sativa subsp. nigra"
"Vicia segetalis",NA,"FR_ALL_LANGUEDOC","Vicia segetalis","Vicia sativa nigra","Accepted","Synonym","Vicia sativa subsp. nigra"
"Vicia segetalis",NA,"FR_VIN_SAVM","Vicia segetalis","Vicia sativa nigra","Accepted","Synonym","Vicia sativa subsp. nigra"
"Vulpia ciliata",NA,"FR_VIN_HERAULT","Vulpia ciliata","Festuca ambigua","Accepted","Synonym","Festuca ambigua"
"Vulpia ciliata",NA,"FR_ALL_LANGUEDOC","Vulpia ciliata","Festuca ambigua","Accepted","Synonym","Festuca ambigua"
"Vulpia ciliata",NA,"FR_VIN_SAVM","Vulpia ciliata","Festuca ambigua","Accepted","Synonym","Festuca ambigua"
"Vulpia fasciculata",NA,"FR_VIN_SAVM","Vulpia fasciculata","Festuca fasciculata","Accepted","Synonym","Festuca fasciculata"
"Vulpia myuros","VLPMY","FR_ANN_BIOVIGILANCE","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Vulpia myuros","VLPMY","FR_ANN_FENAY_GFPHD","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Vulpia myuros","VLPMY","FR_VIN_BIOVIGILANCE","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Vulpia myuros",NA,"FR_VIN_HERAULT","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Vulpia myuros",NA,"FR_ALL_LANGUEDOC","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Vulpia unilateralis",NA,"FR_ALL_LANGUEDOC","Vulpia unilateralis","Festuca maritima","Accepted","Synonym","Festuca maritima"
"x Triticosecale rimpaui","TTLSS","FR_ANN_BIOVIGILANCE","x Triticosecale rimpaui","Triticosecale rimpaui","Unchecked","Fuzzy","Triticosecale rimpaui"
