"accepted_taxa","full_name","wfo_rank"
"Carduus tenuiflorus","Carduus tenuiflorus Curtis","species"
"Carex","Carex L.","genus"
"Carex acuta","Carex acuta L.","species"
"Carex caryophyllea","Carex caryophyllea Latourr.","species"
"Carex curvula","Carex curvula All.","species"
"Carex distans","Carex distans L.","species"
"Carex disticha","Carex disticha Huds.","species"
"Carex divulsa","Carex divulsa Stokes","species"
"Carex echinata","Carex echinata Murray","species"
"Carex ericetorum","Carex ericetorum Pollich","species"
"Carex flacca","Carex flacca Schreb.","species"
"Carex halleriana","Carex halleriana Asso","species"
"Carex hirta","Carex hirta L.","species"
"Carex leersii","Carex leersii F.W.Schultz","species"
"Carex leporina","Carex leporina L.","species"
"Carex muricata","Carex muricata L.","species"
"Carex nigra","Carex nigra (L.) Reichard","species"
"Carex otrubae","Carex otrubae Podp.","species"
"Carex pairae","Carex pairae F.W.Schultz","species"
"Carex pallescens","Carex pallescens L.","species"
"Carex paniculata","Carex paniculata L.","species"
"Carex pendula","Carex pendula Huds.","species"
"Carex remota","Carex remota L.","species"
"Carex riparia","Carex riparia Curtis","species"
"Carex spicata","Carex spicata Huds.","species"
"Carex vulpina","Carex vulpina L.","species"
"Carlina corymbosa","Carlina corymbosa L.","species"
"Carlina lanata","Carlina lanata L.","species"
"Carlina vulgaris","Carlina vulgaris Schur","species"
"Carpinus","Carpinus L.","genus"
"Carpinus betulus","Carpinus betulus L.","species"
"Carthamus carduncellus","Carthamus carduncellus L.","species"
"Carthamus lanatus","Carthamus lanatus L.","species"
"Carum carvi","Carum carvi L.","species"
"Caryophyllaceae","Caryophyllaceae Juss.","family"
"Castanea","Castanea Mill.","genus"
"Castanea sativa","Castanea sativa Mill.","species"
"Catananche caerulea","Catananche caerulea L.","species"
"Catapodium hemipoa","Catapodium hemipoa (Delile ex Spreng.) M.Laínz","species"
"Catapodium rigidum","Catapodium rigidum (L.) C.E.Hubb.","species"
"Caucalis platycarpos","Caucalis platycarpos L.","species"
"Celtis australis","Celtis australis L.","species"
"Cenchrus americanus","Cenchrus americanus (L.) Morrone","species"
"Cenchrus spinifex","Cenchrus spinifex Cav.","species"
"Centaurea","Centaurea L.","genus"
"Centaurea acaulis","Centaurea acaulis L.","species"
"Centaurea argentea","Centaurea argentea L.","species"
"Centaurea aspera","Centaurea aspera L.","species"
"Centaurea benedicta","Centaurea benedicta (L.) L.","species"
"Centaurea calcitrapa","Centaurea calcitrapa L.","species"
"Centaurea cineraria","Centaurea cineraria L.","species"
"Centaurea collina","Centaurea collina L.","species"
"Centaurea cyanus","Centaurea cyanus L.","species"
"Centaurea decipiens","Centaurea decipiens Thuill.","species"
"Centaurea depressa","Centaurea depressa M.Bieb.","species"
"Centaurea diluta","Centaurea diluta Aiton","species"
"Centaurea eriophora","Centaurea eriophora L.","species"
"Centaurea jacea","Centaurea jacea L.","species"
"Centaurea melitensis","Centaurea melitensis L.","species"
"Centaurea napifolia","Centaurea napifolia L.","species"
"Centaurea nigra","Centaurea nigra L.","species"
"Centaurea nigrescens","Centaurea nigrescens Willd.","species"
"Centaurea paniculata","Centaurea paniculata L.","species"
"Centaurea pullata","Centaurea pullata L.","species"
"Centaurea scabiosa","Centaurea scabiosa L.","species"
"Centaurea sicula","Centaurea sicula L.","species"
"Centaurea solstitialis","Centaurea solstitialis L.","species"
"Centaurea stoebe","Centaurea stoebe Tausch","species"
"Centaurium","Centaurium Hill","genus"
"Centaurium erythraea","Centaurium erythraea Rafn","species"
"Centaurium pulchellum","Centaurium pulchellum (Sw.) Druce","species"
"Centaurium tenuiflorum","Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch","species"
"Centotheca lappacea","Centotheca lappacea (L.) Desv.","species"
"Cephalanthera rubra","Cephalanthera rubra (L.) Rich.","species"
"Cerastium","Cerastium L.","genus"
"Cerastium arvense","Cerastium arvense L.","species"
"Cerastium brachypetalum","Cerastium brachypetalum Pers.","species"
"Cerastium dichotomum","Cerastium dichotomum L.","species"
"Cerastium diffusum","Cerastium diffusum Pers.","species"
"Cerastium fontanum","Cerastium fontanum Baumg.","species"
"Cerastium fontanum vulgare","Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet","subspecies"
"Cerastium glomeratum","Cerastium glomeratum Thuill.","species"
"Cerastium gracile","Cerastium gracile Dufour","species"
"Cerastium perfoliatum","Cerastium perfoliatum L.","species"
"Cerastium pumilum","Cerastium pumilum Curtis","species"
"Cerastium semidecandrum","Cerastium semidecandrum L.","species"
"Cercis siliquastrum","Cercis siliquastrum L.","species"
"Cerinthe minor","Cerinthe minor L.","species"
"Chaenomeles x superba","Chaenomeles × superba (Frahm) Rehder","species"
"Chaenorhinum minus","Chaenorhinum minus (L.) Lange","species"
"Chaenorhinum origanifolium","Chaenorhinum origanifolium (L.) Kostel.","species"
"Chaenorhinum rubrifolium","Chaenorhinum rubrifolium (Robert & Castagne ex DC.) Fourr.","species"
"Chaerophyllum","Chaerophyllum L.","genus"
"Chaerophyllum aureum","Chaerophyllum aureum L.","species"
"Chaerophyllum bulbosum","Chaerophyllum bulbosum L.","species"
"Chaerophyllum hirsutum","Chaerophyllum hirsutum L.","species"
"Chaerophyllum temulum","Chaerophyllum temulum L.","species"
"Chamaemelum","Chamaemelum Mill.","genus"
"Chamaemelum nobile","Chamaemelum nobile L.","species"
"Chamomilla recutita","Chamomilla recutita (L.) Rauschert","species"
"Chelidonium","Chelidonium L.","genus"
"Chelidonium majus","Chelidonium majus L.","species"
"Chenopodiaceae","Chenopodiaceae Vent.","family"
"Chenopodiastrum hybridum","Chenopodiastrum hybridum (L.) S.Fuentes, Uotila & Borsch","species"
"Chenopodiastrum murale","Chenopodiastrum murale (L.) S.Fuentes, Uotila & Borsch","species"
"Chenopodium","Chenopodium L.","genus"
"Chenopodium album","Chenopodium album L.","species"
"Chenopodium berlandieri","Chenopodium berlandieri Moq.","species"
