"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Arctium lappa","Arctium lappa","Eurasiatique","Rose","Épizoochore","7-8","Racème de capitules","Entomogame, autogame"
"Arctium minus","Arctium minus","Européen","Rose","Épizoochore","7-8","Racème de capitules","Entomogame, autogame"
"Arctium tomentosum","Arctium tomentosum","Eurasiatique","Rose","Épizoochore","7-8","Racème de capitules","Entomogame, autogame"
"Aremonia agrimonoides",NA,NA,NA,NA,NA,NA,NA
"Arenaria","Arenaria leptoclados_Arenaria serpyllifolia","Holarctique","Blanc","Anémochore","5-7","Cyme bipare","Entomogame_Entomogame, autogame"
"Arenaria hispanica",NA,NA,NA,NA,NA,NA,NA
"Arenaria serpyllifolia","Arenaria serpyllifolia","Holarctique","Blanc","Anémochore","5-7","Cyme bipare","Entomogame, autogame"
"Arenaria serpyllifolia leptoclados","Arenaria leptoclados","Holarctique","Blanc","Anémochore","5-7","Cyme bipare","Entomogame"
"Argentina anserina","Argentina anserina","Holarctique","Jaune","Barochore","","Cyme unipare hélicoïde","Entomogame, autogame"
"Argentina anserina anserina","Argentina anserina subsp. anserina","Holarctique","Jaune","Barochore","5-9","Cyme unipare hélicoïde","Entomogame, autogame"
"Aria edulis","Sorbus aria","Européen méridional","Blanc","Endozoochore","5","Corymbe","Entomogame"
"Arisarum simorrhinum",NA,NA,NA,NA,NA,NA,NA
"Arisarum vulgare","Arisarum vulgare","Méditerranéen","Marron","Endozoochore","3-5","Spadice","Entomogame"
"Aristolochia clematitis","Aristolochia clematitis","Méditerranéen(eury)","Jaune","Barochore","5-9","Glomérules","Entomogame"
"Armoracia rusticana","Armoracia rusticana","Circumboréal","Blanc","Barochore","5-7","Racème simple","Entomogame, autogame"
"Arnoseris minima","Arnoseris minima","Atlantique(eury)","Jaune","Barochore","6-7","Capitule simple","Entomogame"
"Arrhenatherum","Arrhenatherum elatius_Arrhenatherum elatius subsp. bulbosum_Arrhenatherum elatius subsp. elatius","Européen_Européen occidental","Vert, rose","Épizoochore","5-8","Panicule d'épillets","Anémogame, autogame"
"Arrhenatherum elatius","Arrhenatherum elatius","Européen","Vert, rose","Épizoochore","5-8","Panicule d'épillets","Anémogame, autogame"
"Arrhenatherum elatius bulbosum","Arrhenatherum elatius subsp. bulbosum","Européen occidental","Vert, rose","Épizoochore","5-8","Panicule d'épillets","Anémogame, autogame"
"Arrhenatherum elatius elatius","Arrhenatherum elatius subsp. elatius","Européen","Vert, rose","Épizoochore","5-8","Panicule d'épillets","Anémogame, autogame"
"Artemisia","Artemisia abrotanum_Artemisia absinthium_Artemisia annua_Artemisia herba-alba_Artemisia verlotiorum_Artemisia vulgaris","Eurasiatique_Eurasiatique méridional_Introduit (asie occ.)_Introduit (asie orient.)_Méditerranéen(eury)","Blanc_Rose","Barochore","7-9","Épi de capitules","Anémogame"
"Artemisia abrotanum","Artemisia abrotanum","Introduit (asie occ.)","Blanc","Barochore","","Épi de capitules","Anémogame"
"Artemisia absinthium","Artemisia absinthium","Eurasiatique","Blanc","Barochore","7-9","Épi de capitules","Anémogame"
"Artemisia annua","Artemisia annua","Eurasiatique méridional","Blanc","Barochore","","Épi de capitules","Anémogame"
"Artemisia herba-alba","Artemisia herba-alba","Méditerranéen(eury)","Blanc","Barochore","","Épi de capitules","Anémogame"
"Artemisia verlotiorum","Artemisia verlotiorum","Introduit (asie orient.)","Rose","Barochore","7-9","Épi de capitules","Anémogame"
"Artemisia vulgaris","Artemisia vulgaris","Eurasiatique méridional","Blanc","Barochore","7-9","Épi de capitules","Anémogame"
"Arum","Arum italicum_Arum maculatum","Européen_Méditerranéen-atlantique","Blanc_Vert","Endozoochore","4-5","Spadice","Entomogame"
"Arum italicum","Arum italicum","Méditerranéen-atlantique","Blanc","Endozoochore","4-5","Spadice","Entomogame"
"Arum maculatum","Arum maculatum","Européen","Vert","Endozoochore","4-5","Spadice","Entomogame"
"Arundo","Arundo donax_Arundo plinii","Cosmopolite(thermo)_Méditerranéen","Vert","Anémochore","9-10","Panicule d'épillets","Anémogame"
"Arundo donax","Arundo donax","Cosmopolite(thermo)","Vert","Anémochore","9-10","Panicule d'épillets","Anémogame"
"Arundo plinii","Arundo plinii","Méditerranéen","Vert","Anémochore","9-10","Panicule d'épillets","Anémogame"
"Asclepias syriaca","Asclepias syriaca","Introduit (amér. du nord)","Rose","Épizoochore","6-8","Ombelle simple","Entomogame"
"Asparagaceae",NA,NA,NA,NA,NA,NA,NA
"Asparagus","Asparagus acutifolius_Asparagus officinalis_Asparagus tenuifolius","Eurasiatique_Européen méridional_Méditerranéen","Blanc_Jaune_Vert","Endozoochore","4-6_5-7_7-9","Glomérules","Entomogame"
"Asparagus acutifolius","Asparagus acutifolius","Méditerranéen","Jaune","Endozoochore","7-9","Glomérules","Entomogame"
"Asparagus officinalis","Asparagus officinalis","Eurasiatique","Vert","Endozoochore","5-7","Glomérules","Entomogame"
"Asparagus tenuifolius","Asparagus tenuifolius","Européen méridional","Blanc","Endozoochore","4-6","Glomérules","Entomogame"
"Asperugo procumbens","Asperugo procumbens","Eurasiatique tempéré","Bleu","Épizoochore","4-8","Glomérules","Entomogame"
"Asperula","Asperula arvensis","Méditerranéen","Bleu","Barochore","4-6","Cyme capituliforme","Entomogame"
"Asperula arvensis","Asperula arvensis","Méditerranéen","Bleu","Barochore","4-6","Cyme capituliforme","Entomogame"
"Asphodelus","Asphodelus ramosus","Méditerranéen occidental","Blanc, rose","Barochore","5-6","Racème simple","Entomogame"
"Asphodelus ramosus","Asphodelus ramosus","Méditerranéen occidental","Blanc, rose","Barochore","5-6","Racème simple","Entomogame"
"Aster","Symphyotrichum squamatum_Symphyotrichum subulatum","Introduit (amér. du nord)","Bleu, jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Aster squamatus","Symphyotrichum squamatum","Introduit (amér. du nord)","Bleu, jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Aster subulatus","Symphyotrichum subulatum","Introduit (amér. du nord)","","Anémochore","","Racème de capitules","Entomogame, autogame"
"Asteraceae",NA,NA,NA,NA,NA,NA,NA
"Astragalus","Astragalus alopecurus_Astragalus boeticus_Astragalus cicer_Astragalus glycyphyllos_Astragalus hamosus_Astragalus sesameus","Eurasiatique_Européen méridional_Méditerranéen_Méditerranéen occidental_Méditerranéen(eury)_Orophyte alpien mérid.","Blanc_Bleu_Jaune","Barochore_Épizoochore","4-6_5-8_6-7_7-8","Racème capituliforme","Entomogame"
"Astragalus alopecurus","Astragalus alopecurus","Orophyte alpien mérid.","Jaune","Épizoochore","7-8","Racème capituliforme","Entomogame"
"Astragalus boeticus","Astragalus boeticus","Méditerranéen","Jaune","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Astragalus cicer","Astragalus cicer","Européen méridional","Jaune","Épizoochore","6-7","Racème capituliforme","Entomogame"
"Astragalus glycyphyllos","Astragalus glycyphyllos","Eurasiatique","Jaune","Barochore","5-8","Racème capituliforme","Entomogame"
"Astragalus hamosus","Astragalus hamosus","Méditerranéen(eury)","Blanc","Barochore","4-6","Racème capituliforme","Entomogame"
"Astragalus sesameus","Astragalus sesameus","Méditerranéen occidental","Bleu","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Atocion armeria","Atocion armeria","Méditerranéen(eury)","Blanc, rose","Anémochore","6-8","Cyme bipare","Entomogame"
"Atriplex","Atriplex glabriuscula_Atriplex halimus_Atriplex hortensis_Atriplex littoralis_Atriplex oblongifolia_Atriplex patula_Atriplex prostrata_Atriplex sagittata_Atriplex tatarica","Atlantique septentrional_Circumboréal_Européen oriental_Holarctique_Introduit (afrique)_Introduit (asie)_Méditerranéen","Jaune_Vert","Anémochore_Barochore_Épizoochore","7-9_8-10_8-9","Épi de cymes triflores","Autogame, entomogame"
"Atriplex glabriuscula","Atriplex glabriuscula","Atlantique septentrional","Vert","Épizoochore","8-10","Épi de cymes triflores","Autogame, entomogame"
"Atriplex halimus","Atriplex halimus","Introduit (afrique)","Jaune","Anémochore","8-9","Épi de cymes triflores","Autogame, entomogame"
"Atriplex hortensis","Atriplex hortensis","Introduit (asie)","Vert","Anémochore","7-9","Épi de cymes triflores","Autogame, entomogame"
"Atriplex littoralis","Atriplex littoralis","Holarctique","Vert","Épizoochore","7-9","Épi de cymes triflores","Autogame, entomogame"
"Atriplex oblongifolia","Atriplex oblongifolia","Européen oriental","Vert","Anémochore","","Épi de cymes triflores","Autogame, entomogame"
"Atriplex patula","Atriplex patula","Circumboréal","Vert","","","Épi de cymes triflores",""
"Atriplex prostrata","Atriplex prostrata","Circumboréal","Vert","","","Épi de cymes triflores",""
"Atriplex prostrata calotheca","Atriplex prostrata","Circumboréal","Vert","","","Épi de cymes triflores",""
"Atriplex prostrata calotheca","Atriplex prostrata","Circumboréal","Vert","","","Épi de cymes triflores",""
"Atriplex sagittata","Atriplex sagittata","Européen oriental","Vert","Épizoochore","","Épi de cymes triflores","Autogame, entomogame"
"Atriplex tatarica","Atriplex tatarica","Méditerranéen","Vert","Barochore","","Épi de cymes triflores","Autogame, entomogame"
"Avena","Avena barbata_Avena fatua_Avena sativa_Avena sativa subsp. sativa_Avena sterilis_Avena sterilis subsp. ludoviciana_Avena strigosa","Cosmopolite_Européen central_Introduit (asie occ.)_Méditerranéen(eury)","Vert","Épizoochore","5-7_5-8_6-8","Panicule d'épillets","Anémogame"
"Avena barbata","Avena barbata","Cosmopolite","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Avena fatua","Avena fatua","Cosmopolite","Vert","Épizoochore","5-8","Panicule d'épillets","Anémogame"
"Avena sativa","Avena sativa","Cosmopolite","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Avena sativa sativa","Avena sativa subsp. sativa","Introduit (asie occ.)","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Avena sterilis","Avena sterilis","Méditerranéen(eury)","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Avena sterilis ludoviciana","Avena sterilis subsp. ludoviciana","Méditerranéen(eury)","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Avena strigosa","Avena strigosa","Européen central","Vert","Épizoochore","6-8","Panicule d'épillets","Anémogame"
"Avenella flexuosa","Avenella flexuosa","Holarctique","Blanc, rose","Épizoochore","5-8","Panicule d'épillets","Anémogame"
"Avenula pubescens","Avenula pubescens","Eurasiatique","Blanc, rose","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Ballota nigra","Ballota nigra","Européen","Rose","Barochore","5-9","Glomérules","Entomogame"
"Barbarea","Barbarea intermedia_Barbarea stricta_Barbarea verna_Barbarea vulgaris","Atlantique(eury)_Circumboréal_Européen occidental","Jaune","Barochore","4-6","Racème simple","Entomogame_Entomogame, autogame"
"Barbarea intermedia","Barbarea intermedia","Atlantique(eury)","Jaune","Barochore","4-6","Racème simple","Entomogame"
"Barbarea stricta","Barbarea stricta","Circumboréal","Jaune","Barochore","","Racème simple","Entomogame"
"Barbarea verna","Barbarea verna","Européen occidental","Jaune","Barochore","4-6","Racème simple","Entomogame"
"Barbarea vulgaris","Barbarea vulgaris","Circumboréal","Jaune","Barochore","","Racème simple","Entomogame, autogame"
"Bassia","Bassia scoparia","Méditerranéen","Vert","Épizoochore","","Glomérules","Anémogame"
"Bassia scoparia","Bassia scoparia","Méditerranéen","Vert","Épizoochore","","Glomérules","Anémogame"
"Bellardia trixago","Bartsia trixago","Méditerranéen","Blanc, jaune, rose","Épizoochore","5-7","Racème simple","Entomogame"
"Bellevalia trifoliata","Bellevalia trifoliata","Méditerranéen","Bleu","Barochore","4-5","Racème simple","Entomogame"
"Bellis","Bellis annua_Bellis pappulosa_Bellis perennis_Bellis sylvestris","Européen_Méditerranéen","Blanc, jaune_Blanc, jaune, rose_Jaune, rose","Anémochore_Barochore_Épizoochore","2-6_3-11_9-11","Capitule simple","Entomogame_Entomogame, autogame"
"Bellis annua","Bellis annua","Méditerranéen","Blanc, jaune","Épizoochore","2-6","Capitule simple","Entomogame"
"Bellis pappulosa","Bellis pappulosa","Méditerranéen","Jaune, rose","Anémochore","9-11","Capitule simple","Entomogame"
"Bellis perennis","Bellis perennis","Européen","Blanc, jaune, rose","Barochore","3-11","Capitule simple","Entomogame, autogame"
"Bellis sylvestris","Bellis sylvestris","Méditerranéen","Jaune, rose","Barochore","9-11","Capitule simple","Entomogame"
"Berberis vulgaris","Berberis vulgaris","Européen tempéré","Jaune","Endozoochore","5-6","Racème simple","Entomogame"
"Berteroa incana","Berteroa incana","Eurasiatique","Blanc","Barochore","6-7","Racème simple","Entomogame"
"Berula erecta","Berula erecta","Circumboréal","Blanc","Hydrochore","6-9","Ombelle d'ombellules","Entomogame"
"Beta","Beta vulgaris","Méditerranéen-atlantique","Vert, rose","Barochore","7-9","Glomérules","Anémogame"
"Beta vulgaris","Beta vulgaris","Méditerranéen-atlantique","Vert, rose","Barochore","7-9","Glomérules","Anémogame"
"Betonica alopecuros","Betonica alopecuros","Orophyte méridional","Rose","Épizoochore","","Glomérules spiciformes","Entomogame"
"Betula","Betula pendula_Betula pubescens","Eurasiatique","Jaune","Anémochore","4-5","Épi de cymes triflores","Anémogame"
"Betula pendula","Betula pendula","Eurasiatique","Jaune","Anémochore","4-5","Épi de cymes triflores","Anémogame"
"Betula pubescens","Betula pubescens","Eurasiatique","Jaune","Anémochore","4-5","Épi de cymes triflores","Anémogame"
"Bidens","Bidens bipinnata_Bidens frondosa_Bidens subalternans_Bidens tripartita","Eurasiatique méridional_Introduit (amér. du nord)_Introduit (amér.)","Jaune","Épizoochore","7-9_8-10","Cyme de capitules","Entomogame, autogame"
"Bidens bipinnata","Bidens bipinnata","Introduit (amér. du nord)","Jaune","Épizoochore","7-9","Cyme de capitules","Entomogame, autogame"
"Bidens frondosa","Bidens frondosa","Introduit (amér.)","Jaune","Épizoochore","","Cyme de capitules","Entomogame, autogame"
"Bidens subalternans","Bidens subalternans","Introduit (amér.)","Jaune","Épizoochore","","Cyme de capitules","Entomogame, autogame"
"Bidens tripartita","Bidens tripartita","Eurasiatique méridional","Jaune","Épizoochore","8-10","Cyme de capitules","Entomogame, autogame"
"Bifora radians","Bifora radians","Européen méridional","Blanc","Barochore","5-6","Ombelle d'ombellules","Entomogame"
"Bifora testiculata","Bifora testiculata","Méditerranéen","Blanc","Barochore","4-6","Ombelle d'ombellules","Entomogame"
"Biscutella auriculata","Biscutella auriculata","Méditerranéen occidental","Jaune","Anémochore","","Racème simple","Entomogame"
"Biserrula pelecinus","Astragalus pelecinus","Méditerranéen","Blanc","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Bituminaria bituminosa","Bituminaria bituminosa","Eurasiatique tempéré","Bleu","Épizoochore","5-10","Racème capituliforme","Entomogame"
"Blackstonia perfoliata","Blackstonia perfoliata","Méditerranéen(eury)-atlantique(eury)","Jaune","Barochore","5-9","Cyme bipare","Autogame"
"Blackstonia perfoliata perfoliata","Blackstonia perfoliata subsp. perfoliata","Méditerranéen(eury)-atlantique(eury)","Jaune","Barochore","5-9","Cyme bipare","Autogame"
"Bolboschoenus maritimus","Bolboschoenus maritimus","Européen","Marron","Anémochore","6-8","Ombelle simple d'épis","Anémogame"
"Bombycilaena erecta","Bombycilaena erecta","Méditerranéen","Blanc","Barochore","6-8","Capitule simple","Entomogame, autogame"
"Boraginaceae",NA,NA,NA,NA,NA,NA,NA
"Borago officinalis","Borago officinalis","Européen méridional","Bleu","Épizoochore","4-9","Racème de cymes unipares scorpioïdes","Entomogame"
"Bothriochloa barbinodis","Bothriochloa barbinodis","Introduit (amér.)","","Épizoochore","","Panicule d'épillets","Anémogame"
"Bothriochloa ischaemum","Bothriochloa ischaemum","Européen central","Rose","Épizoochore","6-10","Panicule d'épillets","Anémogame"
"Brachypodium","Brachypodium distachyon_Brachypodium phoenicoides_Brachypodium pinnatum_Brachypodium retusum_Brachypodium sylvaticum","Eurasiatique méridional_Européen_Méditerranéen_Méditerranéen occidental_Subtropical(paléo)","Vert","Épizoochore","5-7_6-8_6-9","Épi d'épillets_Panicule d'épillets","Anémogame"
"Brachypodium distachyon","Brachypodium distachyon","Subtropical(paléo)","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Méditerranéen occidental","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame"
"Brachypodium pinnatum","Brachypodium pinnatum","Eurasiatique méridional","Vert","Épizoochore","6-8","Épi d'épillets","Anémogame"
"Brachypodium retusum","Brachypodium retusum","Méditerranéen","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame"
"Brachypodium sylvaticum","Brachypodium sylvaticum","Européen","Vert","Épizoochore","6-9","Panicule d'épillets","Anémogame"
"Brachythecium rutabulum",NA,NA,NA,NA,NA,NA,NA
"Brassica","Brassica barrelieri_Brassica juncea_Brassica napus_Brassica napus var. napus_Brassica oleracea_Brassica rapa_Brassica tournefortii","Européen_Holarctique_Introduit (asie)_Méditerranéen_Méditerranéen-atlantique_Orophyte alpien","Jaune","Barochore","4-6_4-7_4-8","Racème simple","Entomogame_Entomogame, autogame"
"Brassica barrelieri","Brassica barrelieri","Orophyte alpien","Jaune","Barochore","","Racème simple","Entomogame"
"Brassica juncea","Brassica juncea","Introduit (asie)","Jaune","Barochore","","Racème simple","Entomogame"
"Brassica napus","Brassica napus","Européen","Jaune","Barochore","4-8","Racème simple","Entomogame"
"Brassica napus napus","Brassica napus var. napus","Européen","Jaune","Barochore","4-8","Racème simple","Entomogame"
"Brassica oleracea","Brassica oleracea","Méditerranéen-atlantique","Jaune","Barochore","4-7","Racème simple","Entomogame, autogame"
"Brassica rapa","Brassica rapa","Holarctique","Jaune","Barochore","4-6","Racème simple","Entomogame, autogame"
"Brassica tournefortii","Brassica tournefortii","Méditerranéen","Jaune","Barochore","","Racème simple","Entomogame"
